JD,RA,DEC,Magnitude0,Magnitude_error0,Magnitude1,Magnitude_error1,Magnitude2,Magnitude_error2,Magnitude3,Magnitude_error3,Magnitude4,Magnitude_error4
2459612.250647118,119.96580213467993,-10.89268388049145,-10.48702753006796,0.0012105952223654506,-11.172006888539174,0.001097081145809635,-11.269647895586656,0.0013678369546343482,-11.292160752197187,0.0017074400317416399,-11.30176532952591,0.0020627672503441326
2459612.250647118,119.85207837823062,-10.891330896283792,-10.74078531378131,0.001053107653652898,-11.424668880378881,0.0009469856795985716,-11.527037633729172,0.001168712054513881,-11.549811619590942,0.0014538587596850863,-11.55839527635639,0.0017545763820254598
2459612.250647118,120.02578050292819,-10.88884068930771,-8.869402741922428,0.004158186106429207,-9.581356823709797,0.004073433061784487,-9.68510897271435,0.005355367791285017,-9.704144114305643,0.006849758508329481,-9.710088328522842,0.008339549374789743
2459612.250647118,119.94987387124588,-10.889311563093111,-8.750152852714175,0.004128688982350781,-9.450293395787872,0.004076334338502455,-9.551941583745723,0.005397207980046279,-9.57270968833586,0.006963902358573908,-9.58076416226249,0.008573259743795662
2459612.250647118,119.90862488959797,-10.885235781748877,-9.242658287699228,0.0029282063067495,-9.924160862622955,0.0028787904918519407,-10.020666298843974,0.0037781383011125593,-10.043037479607893,0.004825981318872468,-10.057201456792363,0.005871101544804462
2459612.250647118,119.89594162735256,-10.883711375021802,-10.143255869367081,0.0015909972898398043,-10.826588126003934,0.001495593107805532,-10.926889358337279,0.0019058667295926307,-10.948497596972482,0.00240653464447738,-10.958111157741637,0.0029200492159440687
2459612.250647118,120.02202749629002,-10.877781184069784,-9.707179240737284,0.002089993207348123,-10.44675611749581,0.0019123301197556419,-10.568810295455808,0.0024154271410628944,-10.596743280081448,0.0030475738372113246,-10.608131841123061,0.0037034322819913213
2459612.250647118,119.8804314270537,-10.870161505382582,-9.949721740164433,0.001822886710166637,-10.60648645730874,0.001775704163871313,-10.69904570620743,0.0023024310939248394,-10.720345815174104,0.0029221911711987455,-10.73004987121124,0.0035468415407667628
2459612.250647118,119.90905573258024,-10.869642950760364,-9.486871125053318,0.0023962174105899878,-10.14808251160506,0.0023565806915946167,-10.241327134950875,0.003074495686970909,-10.263067573377974,0.003916174258594721,-10.272619563573377,0.004779807021134815
2459612.250647118,119.9494764667668,-10.86736189177997,-8.293080690794275,0.00703652073314294,-8.996901837248432,0.007058808215024401,-9.090906032778923,0.009446143679744032,-9.112252676141884,0.01209577614109753,-9.18241524100552,0.013904159881875294
2459612.250647118,119.88627458279069,-10.866534354261665,-9.31279134085219,0.0027697685227600433,-9.963326318186482,0.0027850771573306758,-10.053513601075085,0.0036737202157778094,-10.07288960904017,0.004710697066596446,-10.080033893507576,0.005780226758695428
2459612.250647118,119.92376159653134,-10.855451595772147,-9.512663316494129,0.002317987961713632,-10.16951505614202,0.002278954799612295,-10.262100180728982,0.002972096276345022,-10.2843216156419,0.003788115942362732,-10.292945448256596,0.00463619539057774
2459612.250647118,120.10604131119904,-10.853100516117498,-8.825110195101672,0.003776794480144432,-9.519868151458683,0.0037140248304416376,-9.622323782729351,0.004887705901132255,-9.646084923281261,0.006272131080449831,-9.655842337349027,0.007701989590096497
2459612.250647118,119.97382055745145,-10.845772070445154,-9.264924206609987,0.003029560127459928,-9.925426134685015,0.0030546567638672292,-10.014953444407288,0.004053053570716661,-10.036065931568956,0.005194627185429729,-10.04545101407238,0.006353929450509126
2459612.250647118,120.09086833357573,-10.838593471971945,-9.300855788858712,0.002821303206552158,-9.98208560148934,0.002776587709438486,-10.08340877136855,0.0036384796468643273,-10.117864196273658,0.004613261621329439,-10.139080441338155,0.005594040224656301
2459612.250647118,120.04786005951233,-10.838596353656245,-8.97476955388064,0.003494565064691427,-9.643985144900428,0.003507533387997787,-9.739516028710483,0.004644340103158399,-9.760163790151413,0.005976336093684425,-9.767870915937772,0.007350461932094329
2459612.250647118,119.98842074738697,-10.836057085418464,-11.829593257497788,0.0005943295930146315,-12.47643396275965,0.0005303071604225965,-12.565735269888226,0.0006424376129698841,-12.587979447542955,0.0007836691352851294,-12.59840761844104,0.000930134381395999
2459612.250647118,120.02248056802755,-10.835401830182503,-9.324727126677248,0.0027335611382313207,-9.985996645948267,0.002725865843285329,-10.078029413087194,0.003596514034833001,-10.09907377699977,0.004613838064048075,-10.107102337774363,0.005660642638861348
2459612.250647118,120.08379093365508,-10.833249907723165,-10.213373642972986,0.0014817895613941498,-10.882119601998276,0.0013954993156424106,-10.975791346244408,0.0017781903716317287,-10.996302656754883,0.0022405857065344948,-11.004684114713331,0.002713945611333955
2459612.250647118,119.85254866507309,-10.83560755401768,-11.797757180981588,0.0005887424006753091,-12.423142892288691,0.0005275710142795378,-12.51325937234782,0.0006357393155771111,-12.537094327663961,0.00077532396998979,-12.548257279844764,0.0009235119777012503
2459612.250647118,120.0756950676973,-10.822735248088232,-11.77997086129863,0.0005939866487949414,-12.443329496184901,0.0005165962548459807,-12.537998120648496,0.0006138446380362306,-12.560023299765522,0.0007407993457138638,-12.569436765934764,0.0008741935229102924
2459612.250647118,120.03858366235484,-10.818813933538385,-9.34242236450482,0.0026905123101328074,-10.003378853577729,0.0026771876165476933,-10.098963346800492,0.0035164003955702274,-10.127623091284686,0.004477630871070888,-10.147930571948073,0.005434220265802361
2459612.250647118,120.00790632062319,-10.81643081953232,-9.851160714571275,0.0018769303821641558,-10.502429890752891,0.0018322508447321775,-10.59448796621609,0.0023789387495076835,-10.615436420643904,0.0030340050897817426,-10.623945655830386,0.0037149873048268668
2459612.250647118,120.09721414145159,-10.813409057975498,-8.939205913612653,0.003616441156208347,-9.595726276724678,0.0036819380667426874,-9.689985919531798,0.004892371302687715,-9.712285032093739,0.006290777016891649,-9.730860207075743,0.0076568762128945145
2459612.250647118,120.05106015605837,-10.812569503477292,-9.479971793815341,0.002451932811618292,-10.123403461870705,0.0024627953212104222,-10.212131527928081,0.0032452537942545727,-10.231827065641736,0.004158940618638217,-10.238086775712418,0.005104653316096489
2459612.250647118,119.96620284463417,-10.812568980172012,-9.280972930759802,0.0030247293194066312,-9.923510808149443,0.0031017315868027673,-10.012611519208646,0.00412382059280216,-10.03161578546507,0.005300080926783258,-10.038275720370553,0.0065019537705276785
2459612.250647118,120.11014365192041,-10.810834881688614,-9.513780824522073,0.00231504542556467,-10.178584764186866,0.0022629470696429363,-10.27262956021925,0.002949906963892435,-10.293582211371515,0.0037671840479811076,-10.302102654454588,0.004612815396290478
2459612.250647118,119.90246877987435,-10.811462200331677,-10.971118957505425,0.0009236002435067452,-11.569050859608343,0.0008758271422366831,-11.654063292809003,0.001092476771860601,-11.675932080180722,0.0013577708939401503,-11.685761674938409,0.0016355020383046854
2459612.250647118,120.15540755860364,-10.808066116625012,-9.322047401743706,0.002853466631823018,-10.006071694746758,0.0028037875967816183,-10.102653487032496,0.0036759149507146946,-10.121770333865353,0.004692210952273656,-10.12726598305946,0.005717343339262673
2459612.250647118,119.96335426241008,-10.80983125168458,-8.35483192097853,0.006412820058922657,-8.982617130428423,0.006915920999427912,-9.066916065381129,0.009420622945903076,-9.08610340992128,0.012216810074546119,-9.11961607166883,0.014691173181723546
2459612.250647118,119.98275297400268,-10.805961457552845,-9.41946474929022,0.0026495418078887256,-10.055098210899821,0.0027032240429528303,-10.143316139125682,0.0035816468550196293,-10.163625539225976,0.004596539900193303,-10.173190315356468,0.005630370091220067
